time(ps),viscosity(Pa.s)
0.0,0.0
0.2,0.0001720540073474414
0.4,0.00028303751933811335
0.6,0.00025015207974802634
0.8,0.00015957952359808896
1.0,0.00022085536860612243
1.2,0.000297001440650969
1.4000000000000001,0.0002720557335059327
1.6,0.00030177137400633566
1.8,0.00034474678267376775
2.0,0.00029691903297685224
2.2,0.0002823383121521257
2.4,0.00033163587961538627
2.6,0.00034483609840275085
2.8000000000000003,0.0003418500811623457
3.0,0.0003576812815297283
3.2,0.0003622979522991582
3.4,0.000354580156213148
3.6,0.0003609851442353079
3.8000000000000003,0.00037840409075824206
4.0,0.00038857160125259317
4.2,0.00039427752682559764
4.4,0.0004037039876092183
4.6000000000000005,0.00040456294189110083
4.8,0.00040541382249007207
5.0,0.00041591836383031574
5.2,0.00042244434452777036
5.4,0.0004256724481600871
5.6000000000000005,0.0004341420569432998
5.8,0.0004388640036103649
6.0,0.00043791552515502156
6.2,0.0004418811381561
6.4,0.00045052432046343405
6.6000000000000005,0.0004574551995714131
6.8,0.00045844496437620294
7.0,0.00046462647303714504
7.2,0.0004723813189762071
7.4,0.00047388100303072194
7.6000000000000005,0.00047979194493958266
7.8,0.0004891358775420843
8.0,0.0004927557303125137
8.2,0.0004997594282292731
8.4,0.0005060946522149686
8.6,0.0005089276562712063
8.8,0.0005131105876883902
9.0,0.0005213024196563554
9.200000000000001,0.0005261714946012162
9.4,0.0005265442384832793
9.6,0.0005305846695407093
9.8,0.0005330188465117162
10.0,0.000534680695447906
10.200000000000001,0.0005409663452238235
10.4,0.0005451627180904974
10.6,0.0005461864217506204
10.8,0.0005485906274749144
11.0,0.00055073740278782
11.200000000000001,0.0005527916271111068
11.4,0.0005575525047059091
11.6,0.0005623485445829014
11.8,0.0005625531794320143
12.0,0.0005630620753169941
12.200000000000001,0.0005681033236549523
12.4,0.0005706263189324946
12.6,0.0005739048986475218
12.8,0.0005796794860749313
13.0,0.0005796920793482889
13.200000000000001,0.0005775558453106191
13.4,0.000579405405099513
13.6,0.0005851619117091192
13.8,0.0005858015812367723
14.0,0.0005861736610733744
14.200000000000001,0.0005896001965999786
14.4,0.0005903326459735626
14.6,0.0005888135573449814
14.8,0.0005930317094367205
15.0,0.0005953731395011668
15.200000000000001,0.0005942526124526009
15.4,0.0005963298373981895
15.6,0.0006008817555561303
15.8,0.0006005975381869371
16.0,0.0006024588193512549
16.2,0.0006059923209928467
16.4,0.0006055397747801171
16.6,0.0006036488558218869
16.8,0.0006046720036596078
17.0,0.0006067822596100271
17.2,0.000609790787288739
17.400000000000002,0.0006133240245065519
17.6,0.0006139249882784478
17.8,0.0006132469317931645
18.0,0.0006130657353122602
18.2,0.0006151285154191173
18.400000000000002,0.0006186645362610067
18.6,0.0006200260370806929
18.8,0.0006218101433253031
19.0,0.000625145429163803
19.2,0.0006255801185889992
19.400000000000002,0.0006243196365880355
19.6,0.0006250951090486159
19.8,0.000624511493227613
20.0,0.0006232150115593522
20.2,0.0006243982247185476
20.400000000000002,0.0006255893124802054
20.6,0.0006267874464761354
20.8,0.0006282812061084216
21.0,0.0006281015348267033
21.2,0.0006264663386873954
21.400000000000002,0.000626739688933887
21.6,0.0006307216897396674
21.8,0.0006309269355201264
22.0,0.0006302204360328591
22.2,0.0006326166799304672
22.400000000000002,0.0006338148016516184
22.6,0.000632371198819254
22.8,0.0006349194840074625
23.0,0.0006352812912158348
23.2,0.0006332029238351063
23.400000000000002,0.0006318116518597956
23.6,0.0006347257495001192
23.8,0.0006343887754805707
24.0,0.0006336701226883244
24.2,0.0006359840087887497
24.400000000000002,0.0006324014194314999
24.6,0.0006306687281768211
24.8,0.0006301364023301312
25.0,0.0006293905052932591
25.2,0.0006263414838284224
25.400000000000002,0.0006236866869640865
25.6,0.0006215753207672057
25.8,0.0006183600526157169
26.0,0.0006177695139195355
26.2,0.0006210505329775212
26.400000000000002,0.0006184949807530619
26.6,0.0006171249173510672
26.8,0.0006171804757296274
27.0,0.0006139130036838512
27.2,0.0006139029840421524
27.400000000000002,0.0006180379950251021
27.6,0.0006172108406282762
27.8,0.0006175341564754718
28.0,0.000621163719645699
28.2,0.0006195202658434921
28.400000000000002,0.0006198498372180144
28.6,0.0006234298737196436
28.8,0.0006269448819226305
29.0,0.0006259597072575868
29.2,0.0006245532998379775
29.400000000000002,0.0006245667928049963
29.6,0.0006221693250464083
29.8,0.0006212142203870111
30.0,0.0006215858272117815
30.2,0.0006190087926016605
30.400000000000002,0.0006182631429417228
30.6,0.0006227733030781123
30.8,0.0006225862013565693
31.0,0.0006201359624320148
31.2,0.000621228798359222
31.400000000000002,0.0006212534068039241
31.6,0.0006189235713360894
31.8,0.0006215430376495238
32.0,0.0006257235543994828
32.2,0.0006236093773419966
32.4,0.0006221674702306264
32.6,0.0006244669997950204
32.8,0.0006235767814301813
33.0,0.0006221199181605125
33.2,0.000623474977363447
33.4,0.0006251433697984771
33.6,0.0006251926840437986
33.8,0.0006259150337864889
34.0,0.0006248634812787676
34.2,0.0006246620316755969
34.4,0.0006271107586137048
34.6,0.0006281004549984099
34.800000000000004,0.0006252536459788686
35.0,0.0006228152662701855
35.2,0.000622552581116304
35.4,0.0006221892988983298
35.6,0.0006262002709212414
35.800000000000004,0.0006282099992720501
36.0,0.0006274450952277307
36.2,0.0006268162738009931
36.4,0.0006230105726137137
36.6,0.000623563324283626
36.800000000000004,0.0006276819961589326
37.0,0.0006301628322976754
37.2,0.0006309581421602971
37.4,0.0006295336026620718
37.6,0.0006260781784304811
37.800000000000004,0.0006267255168747926
