time(ns),mean_visc,std_visc
0.0,0.0,0.0
0.0002,0.00017226023332936316,2.7035914427232957e-06
0.0004,0.00028464392473410256,3.4727387407059356e-06
0.0006,0.00025279758718941056,4.396507668406501e-06
0.0008,0.00016141628396985265,5.145605809053041e-06
0.001,0.0002228961151611237,5.645607152413617e-06
0.0012,0.0003009041484223738,6.533946025566365e-06
0.0014,0.0002764487267652763,7.777853335656211e-06
0.0016,0.0003073545567386947,8.691675429648555e-06
0.0018,0.0003508096696084684,9.585019705830823e-06
0.002,0.0003015389400982789,1.0327498311001427e-05
0.0022,0.0002881737598537316,1.0876458151081574e-05
0.0024,0.0003394327065283631,1.172928520471668e-05
0.0026,0.0003551026953739499,1.2827239844899981e-05
0.0028000000000000004,0.00035424203531462373,1.3843381682278285e-05
0.003,0.0003713114702140473,1.4870353366678952e-05
0.0032,0.00037673575004378945,1.5611198114804815e-05
0.0034,0.00036915682069126575,1.6133948021758893e-05
0.0036,0.00037495150794439205,1.7191069209372678e-05
0.0038,0.00039257925823800785,1.8073433200886148e-05
0.004,0.0004023656482984237,1.8402000552209426e-05
0.004200000000000001,0.00040634052035471845,1.9281147798693007e-05
0.0044,0.0004129791456500867,2.0383211482150014e-05
0.004600000000000001,0.0004147795647992105,2.0842499334274393e-05
0.0048,0.00041667107752573943,2.152544296136413e-05
0.005,0.0004273470816832684,2.239136921107257e-05
0.0052,0.0004347333627013395,2.26696437100526e-05
0.0054,0.000437121657977679,2.332695701646055e-05
0.005600000000000001,0.0004439147764792764,2.4587756952273428e-05
0.0058,0.00044853296948704476,2.559491326838844e-05
0.006,0.00044883745850868685,2.5788960278220657e-05
0.0062,0.0004535607289886711,2.596305522953863e-05
0.0064,0.00046049839387194227,2.621399165270881e-05
0.006600000000000001,0.000464422274236192,2.6883635224627483e-05
0.0068,0.0004672815981475105,2.7730727709826375e-05
0.007,0.00047125558047269466,2.857696606021073e-05
0.0072,0.0004746399837764106,2.933762409406953e-05
0.0074,0.0004773004144825763,2.941893941918974e-05
0.0076,0.00048096800788346566,2.9608842839834165e-05
0.0078,0.0004850346363442658,3.0401688911215308e-05
0.008,0.0004884670424905209,3.099369325662185e-05
0.008199999999999999,0.000492029375378321,3.173073476961047e-05
0.008400000000000001,0.0004946549603448394,3.2565247282100996e-05
0.0086,0.0004967108004358421,3.334294436300837e-05
0.0088,0.000499341582131229,3.387379192717649e-05
0.009,0.0005022996035992157,3.4534890892875414e-05
0.0092,0.0005042332438053895,3.5432457595323886e-05
0.0094,0.0005060519573996551,3.612632724967948e-05
0.0096,0.0005084711552225474,3.6622188883212046e-05
0.009800000000000001,0.0005102560072962921,3.6790267093840004e-05
0.01,0.0005123079586234237,3.712458740710718e-05
0.010199999999999999,0.0005145651832704315,3.7371575648292494e-05
0.0104,0.000516705626949658,3.763383851661078e-05
0.0106,0.0005184853954788842,3.767810593030402e-05
0.0108,0.000520234362000795,3.8251280571543073e-05
0.011,0.0005216863058106763,3.885773277876027e-05
0.0112,0.000523480589444479,3.893427535468483e-05
0.0114,0.0005254247650005578,3.935066235278781e-05
0.0116,0.0005270487824874657,4.004197733768229e-05
0.011800000000000001,0.0005283350629673475,4.04446980977873e-05
0.012,0.0005294572602293922,4.066078593004615e-05
0.012199999999999999,0.0005305111022779026,4.0905281503927315e-05
0.0124,0.0005319155020163079,4.1376378586843344e-05
0.0126,0.0005331342794088554,4.162256875972075e-05
0.0128,0.0005342393291617236,4.2185989672883646e-05
0.013,0.0005351170282642868,4.294674613864631e-05
0.0132,0.000536117996078779,4.297489550972668e-05
0.0134,0.0005377207532029342,4.295923780678583e-05
0.0136,0.0005387461799768368,4.36679635969481e-05
0.013800000000000002,0.0005396644959528634,4.375202555758273e-05
0.014,0.0005411684424595685,4.394030649345995e-05
