time(ps),viscosity(Pa.s)
0.0,0.0
0.2,0.00017352181386672168
0.4,0.0002824335069808415
0.6,0.0002503224362938771
0.8,0.00016406439674089245
1.0,0.00022497347241560783
1.2,0.0002981295181208061
1.4000000000000001,0.0002708798209119803
1.6,0.00030212437276528313
1.8,0.0003440785109238301
2.0,0.00029600441187366586
2.2,0.00028302778279736744
2.4,0.00033153345507103545
2.6,0.00034482648077080794
2.8000000000000003,0.0003440209954714244
3.0,0.00036205467316225
3.2,0.00036946451661588875
3.4,0.0003619917325583934
3.6,0.0003674678747212142
3.8000000000000003,0.00038404177713190516
4.0,0.0003931142341669917
4.2,0.00040032804288927105
4.4,0.0004059992960062679
4.6000000000000005,0.0004095808038188222
4.8,0.0004115969883481484
5.0,0.00042021134155837444
5.2,0.00042715290947905514
5.4,0.00043065269384958554
5.6000000000000005,0.00043785266610423326
5.8,0.00043885730870786517
6.0,0.0004405663284185576
6.2,0.0004415987381282635
6.4,0.0004457639846136356
6.6000000000000005,0.0004501563398422866
6.8,0.00045266335874234926
7.0,0.00045422761308822914
7.2,0.00045698291555257026
7.4,0.00045927755103919926
7.6000000000000005,0.00046394478885238526
7.8,0.00046873951117496637
8.0,0.0004707388367655026
8.2,0.00047120201188453344
8.4,0.000471196827758123
8.6,0.00047402851378040313
8.8,0.0004756555809547103
9.0,0.000478279841381978
9.200000000000001,0.000483394422396233
9.4,0.00048423183028076185
9.6,0.0004857146394890242
9.8,0.0004897278690404195
10.0,0.0004943339089437906
10.200000000000001,0.0004947015754013874
10.4,0.0004995049781114892
10.6,0.0005010624016888932
10.8,0.0005021041803264415
11.0,0.0005044227666102639
11.200000000000001,0.0005078427804912142
11.4,0.0005109098661626272
11.6,0.0005126885079857805
11.8,0.000513234699330915
12.0,0.0005149794827790451
12.200000000000001,0.0005171196015519578
12.4,0.00051852649676259
12.6,0.0005187111272743959
12.8,0.0005202108457352835
13.0,0.0005187264372603794
13.200000000000001,0.0005174900196562432
13.4,0.000519057591276215
13.6,0.0005221069403399115
13.8,0.0005230381658633356
14.0,0.0005248410457976862
14.200000000000001,0.0005240253739480155
14.4,0.0005199217346605583
14.6,0.000519376219372619
14.8,0.0005205161206249632
15.0,0.0005233635776661111
15.200000000000001,0.0005250582938151052
15.4,0.0005267953909099361
15.6,0.0005283315213790207
15.8,0.0005292194782883146
16.0,0.0005316194577711139
16.2,0.0005348235143468182
16.4,0.0005360112551873004
16.6,0.000536429525542099
16.8,0.000536372658975424
17.0,0.0005382233997430423
17.2,0.0005382254050741557
17.400000000000002,0.0005363799785099205
17.6,0.0005366505285949717
17.8,0.0005400005912459899
18.0,0.0005389481632190104
18.2,0.0005385041760049767
18.400000000000002,0.0005416874481384385
18.6,0.0005412798644639674
18.8,0.0005413328076660452
19.0,0.0005409502237428726
19.2,0.0005389266678620185
19.400000000000002,0.0005385125338078352
19.6,0.0005393897767738842
19.8,0.0005390676288840192
20.0,0.0005376667580823815
20.2,0.0005376039613076538
20.400000000000002,0.0005397146739649893
20.6,0.0005386184812223552
20.8,0.0005378381367282969
21.0,0.0005415680651586882
21.2,0.0005415729268455244
21.400000000000002,0.0005376343037110625
21.6,0.0005380681354465224
21.8,0.0005400400149579743
22.0,0.0005399401654680466
22.2,0.000541092267035002
22.400000000000002,0.0005394127669040933
22.6,0.0005374178975437947
22.8,0.0005366440151696308
23.0,0.0005355049430077784
23.2,0.0005359824654222698
23.400000000000002,0.0005352171418970302
23.6,0.0005314649018368978
23.8,0.0005308849887837514
24.0,0.0005328718443153624
24.2,0.0005333205414274182
24.400000000000002,0.0005348536220682251
24.6,0.000536416238592389
24.8,0.0005364664705902704
25.0,0.0005342581096905049
25.2,0.0005327789078764278
25.400000000000002,0.0005383972217720061
25.6,0.0005416180370236143
25.8,0.0005409116598347352
26.0,0.000543605635416154
26.2,0.0005442512863532033
26.400000000000002,0.0005434543760613388
26.6,0.0005451446772161526
26.8,0.0005476875570243993
27.0,0.0005495958534201486
27.2,0.0005500950746049006
27.400000000000002,0.0005517651012774969
27.6,0.0005530666796816963
27.8,0.0005514501986980784
28.0,0.0005528525617797262
28.2,0.0005545707185207621
28.400000000000002,0.0005547224363496274
28.6,0.0005559161495146634
28.8,0.0005564010003795787
29.0,0.0005550058222175655
29.2,0.0005567047855224186
29.400000000000002,0.000560325332318996
29.6,0.0005591587949556725
29.8,0.0005568119567774085
30.0,0.000556374951221853
30.2,0.0005564012861734112
30.400000000000002,0.000556017214571111
30.6,0.0005597339853322664
30.8,0.0005609014337831059
31.0,0.0005600044387112594
31.2,0.0005606285811765847
31.400000000000002,0.0005619626521652858
31.6,0.0005604212152663784
31.8,0.0005605588035130621
32.0,0.0005626739817539088
32.2,0.0005626586839531679
32.4,0.0005609761209790902
32.6,0.0005639445321802708
32.8,0.0005628066541738915
33.0,0.0005631446657366103
33.2,0.0005670297505423267
33.4,0.0005674253386494206
33.6,0.0005641408066395137
33.8,0.0005646479128435745
34.0,0.0005646778969749941
34.2,0.0005626856993346687
34.4,0.0005625741172467586
34.6,0.000564439880119975
34.800000000000004,0.0005637109029312983
35.0,0.0005648933272718892
35.2,0.0005637446931641172
35.4,0.0005614517568352857
35.6,0.0005607039641949997
35.800000000000004,0.0005600632814040137
36.0,0.0005586117765796209
36.2,0.0005583907201195014
36.4,0.0005577636132263623
36.6,0.0005550356465275635
36.800000000000004,0.0005522594451815454
37.0,0.0005549003706140483
37.2,0.0005566521581835309
37.4,0.0005566790005082818
37.6,0.0005553706054861002
37.800000000000004,0.0005550411981235424
